subject,body,sender,num_links,label
Upcoming maintenance window notice,"Hi Sam, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time. More info at https://teamworkspace.com/details",billing@teamworkspace.com,1,legitimate
Invoice for your recent purchase,"Hi team, just a reminder that we have our project sync meeting on the 3rd at 10 AM in the main conference room. Please bring your status updates. More info at https://notifications.service.com/details",jordan.lee@notifications.service.com,1,legitimate
Confirm your identity to avoid suspension,Your password will expire in 48 hours. Click here to reset it now: http://bank-alert-service.info/reset-password and avoid losing access to your account.,it.helpdesk@bank-alert-service.info,1,phishing
Your package could not be delivered,"Dear Chris, our system detected a login attempt from an unrecognized device on August 21. If this wasn't you, secure your account now at http://secure-login-update.com/secure-login.",no-reply@secure-login-update.com,1,phishing
Meeting reminder for tomorrow,"Hi Jordan, thanks for your order. Your receipt total was $1,852.21. Reach out anytime with questions. More info at https://notifications.service.com/details",jordan.lee@notifications.service.com,1,legitimate
Reminder: Submit your timesheet,"Good morning team, here are the notes from this week's standup on this Friday. Please review the action items and update your tickets accordingly.",billing@ourplatform.io,0,legitimate
Immediate action needed: Password expired,"We were unable to process your last payment of $1,576.49. Please update your billing details urgently at http://prize-claim-center.xyz/billing-update to avoid service interruption.",support.team@prize-claim-center.xyz,1,phishing
Project update: Q3 milestones,"Hi Chris, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time.",support@teamworkspace.com,0,legitimate
Action Required: Verify your account now,Your parcel (tracking #65069) delivery failed due to an incomplete address. Confirm your details within 48 hours at http://login-secure-check.icu/delivery-confirm to reschedule delivery.,no-reply@login-secure-check.icu,1,phishing
Confirm your identity to avoid suspension,"Dear Customer, we detected unusual activity on your account. Click the link below within 48 hours to verify your identity or your account will be suspended. http://billing-update-portal.co/verify-account?ref=21507",it.helpdesk@billing-update-portal.co,1,phishing
Immediate action needed: Password expired,Congratulations! You have been selected to receive a $785.97 gift card. Claim your prize now by clicking here: http://prize-claim-center.xyz/claim-prize before it expires on request #19539.,it.helpdesk@prize-claim-center.xyz,1,phishing
Your receipt from notifications.service.com,"Hi Chris, thanks for your order. Your receipt total was $1,980.85. Reach out anytime with questions.",billing@notifications.service.com,0,legitimate
Meeting reminder for tomorrow,"Hi Taylor, following up on 97501 - let me know if you have any other questions, happy to help.",jordan.lee@company.com,0,legitimate
You have won a prize! Claim now,"Congratulations! You have been selected to receive a $1,438.90 gift card. Claim your prize now by clicking here: http://bank-alert-service.info/claim-prize before it expires on request #97535.",billing.department@bank-alert-service.info,1,phishing
Welcome to our platform,"Hi all, here is a quick update on our Q3 milestones. We are on track to complete the design phase by March 14. More info at https://ourplatform.io/details",support@ourplatform.io,1,legitimate
Re: 73720 follow-up,"Hi Jordan, following up on 70031 - let me know if you have any other questions, happy to help.",jordan.lee@teamworkspace.com,0,legitimate
Your order has shipped,"Hi all, here is a quick update on our Q3 milestones. We are on track to complete the design phase by this Friday. More info at https://company.com/details",alex.rivera@company.com,1,legitimate
We noticed a new device sign-in,"This is an automated alert from your bank. A transaction of $1,518.74 was flagged on next Tuesday. Verify this transaction immediately at http://bank-alert-service.info/secure-verify or your card will be blocked.",billing.department@bank-alert-service.info,1,phishing
Your package could not be delivered,"Dear Taylor, our system detected a login attempt from an unrecognized device on this Friday. If this wasn't you, secure your account now at http://verify-identity-now.top/secure-login.",it.helpdesk@verify-identity-now.top,1,phishing
Feedback request for recent support ticket,"Good morning team, here are the notes from this week's standup on this Friday. Please review the action items and update your tickets accordingly.",support@company.com,0,legitimate
You have won a prize! Claim now,Final Notice: Your account is scheduled for permanent closure on next Tuesday. Verify your information within 2 hours at http://bank-alert-service.info/verify-now to prevent this.,it.helpdesk@bank-alert-service.info,1,phishing
Final notice: Account closure in 24 hours,"Dear Customer, we detected unusual activity on your account. Click the link below within 12 hours to verify your identity or your account will be suspended. http://prize-claim-center.xyz/verify-account?ref=34227",account.security@prize-claim-center.xyz,1,phishing
Action Required: Verify your account now,"Hi Chris, invoice #60738 for $2,155.53 could not be processed. Update your payment method at http://verify-identity-now.top/pay-now to avoid late fees.",no-reply@verify-identity-now.top,1,phishing
You have won a prize! Claim now,Final Notice: Your account is scheduled for permanent closure on March 14. Verify your information within 2 hours at http://verify-identity-now.top/verify-now to prevent this.,account.security@verify-identity-now.top,1,phishing
Your order has shipped,"Hi Sam, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time.",alex.rivera@notifications.service.com,0,legitimate
Project update: Q3 milestones,"Hi Priya, attached is the invoice #65680 for your recent purchase of $472.09. Let us know if you have any questions about the charges or need a receipt. More info at https://ourplatform.io/details",alex.rivera@ourplatform.io,1,legitimate
Security Alert: Unusual login detected,"Final Notice: Your account is scheduled for permanent closure on Monday, June 9. Verify your information within 12 hours at http://account-verify-now.net/verify-now to prevent this.",billing.department@account-verify-now.net,1,phishing
Final notice: Account closure in 24 hours,"Congratulations! You have been selected to receive a $1,358.66 gift card. Claim your prize now by clicking here: http://secure-login-update.com/claim-prize before it expires on request #31566.",no-reply@secure-login-update.com,1,phishing
